License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
April 19 2003,200097,Tinkerdelle,Cat,Domestic Shorthair,,98116
February 07 2006,75432,Pepper,Cat,Manx,Mix,98103
August 31 2012,578859,Grey Fox,Cat,Siamese,Mix,98125
November 14 2013,832989,Hannah,Cat,Domestic Longhair,,98133
April 03 2014,433713,Daisy,Cat,Domestic Shorthair,,98117
April 10 2014,823466,Kukula,Cat,Domestic Shorthair,,98102
April 12 2014,433985,Stanleigh,Cat,Domestic Longhair,,98198
April 21 2014,142472,Gunner,Cat,Domestic Medium Hair,,98115
April 28 2014,127912,Rhiannon,Cat,Domestic Shorthair,,98101
April 30 2014,208061,Leto,Cat,Domestic Shorthair,,98107
April 30 2014,208097,Noree,Cat,Domestic Shorthair,,98107
May 16 2014,423136,Pinwheel,Cat,Domestic Shorthair,,98115
May 21 2014,727943,Ashley,Cat,Domestic Shorthair,,98115
June 05 2014,128332,Frisky,Cat,Domestic Longhair,,98116
July 05 2014,123946,Springfield,Cat,Domestic Shorthair,,98122
July 09 2014,133942,Diego,Cat,Domestic Shorthair,,98103
July 12 2014,435856,Lou-Lou,Cat,Siamese,,98122
September 02 2014,272932,Eleanor,Cat,Domestic Longhair,,98122
September 30 2014,573660,Jiji,Cat,Domestic Longhair,,98115
October 06 2014,433866,Marley,Cat,Domestic Shorthair,,98109
October 06 2014,353140,Maxine,Cat,Domestic Medium Hair,,98109
October 09 2014,429144,Shadow,Cat,Domestic Shorthair,,98125
November 05 2014,586596,Muggs,Cat,Domestic Shorthair,,98136
November 05 2014,586555,Tiblits,Cat,Domestic Shorthair,,98136
November 23 2014,833154,Angel,Cat,Domestic Longhair,,98119
December 04 2014,897189,Buster,Cat,Domestic Shorthair,,98103
December 16 2014,714051,Salsa,Cat,Domestic Medium Hair,,98109
January 08 2015,953864,Midnight,Cat,American Shorthair,,98105
January 22 2015,586781,Mindy,Cat,Domestic Shorthair,,98106
March 04 2015,214955,Hootie,Cat,Domestic Shorthair,Mix,98199
March 13 2015,964468,Isabella,Cat,Turkish Van,,98103
March 26 2015,83271,Luna,Cat,Domestic Shorthair,,98125
March 27 2015,215516,Nemesis,Cat,LaPerm,,98117
March 31 2015,142503,Tater Tat,Cat,Siamese,Domestic Shorthair,98144
April 17 2015,894795,Lulla Bell,Cat,Domestic Shorthair,,98136
April 20 2015,345212,Roger Ball,Cat,Domestic Shorthair,,98199
April 20 2015,444090,Oberon,Cat,Domestic Longhair,,98106
May 07 2015,724475,Sasha,Cat,Domestic Shorthair,,98136
May 08 2015,833836,Lulu,Cat,LaPerm,,98136
May 13 2015,361031,My Boy,Cat,Russian Blue,,98121
May 14 2015,282969,Lucy28/2969,Cat,Domestic Shorthair,,98103
May 14 2015,282971,Ricky,Cat,Domestic Shorthair,,98103
May 26 2015,282684,Rosa,Cat,Abyssinian,,98115
June 09 2015,350186,Lightning,Cat,Siamese,Mix,98118
June 11 2015,730777,Finnegan,Cat,Ragdoll,,98105
June 24 2015,217545,Leo,Cat,Domestic Shorthair,,98144
July 01 2015,85351,Socks,Cat,Domestic Shorthair,,98117
July 07 2015,905587,Puff'n'Stuff,Cat,Maine Coon,Persian,98107
July 07 2015,277246,Buddy,Cat,Domestic Shorthair,,98136
July 09 2015,29126,Magnus,Cat,Domestic Shorthair,,98136
July 11 2015,18985,Bobby,Cat,Manx,Mix,98199
July 14 2015,731286,Esmerelda,Cat,Domestic Shorthair,,98108
July 21 2015,203480,Rocket,Cat,Domestic Shorthair,,98144
July 22 2015,215551,Bing,Cat,Domestic Medium Hair,,98139
August 06 2015,578687,,Cat,Domestic Shorthair,,98144
August 15 2015,100654,Jaunty,Cat,Norwegian Forest,Mix,98112
August 21 2015,101699,Carlito,Cat,Domestic Shorthair,,98101
August 25 2015,430794,Oz,Cat,Domestic Medium Hair,,98136
September 02 2015,101106,Magnum,Cat,LaPerm,,98122
September 09 2015,273591,Bu,Cat,Domestic Shorthair,,98117
September 15 2015,353237,Otis,Cat,American Shorthair,,98126
September 17 2015,733342,Gigi,Cat,American Shorthair,,98144
September 30 2015,574027,Calypso,Cat,Domestic Shorthair,,98106
October 02 2015,128798,Ty,Cat,Domestic Medium Hair,,98115
October 13 2015,142767,Guinness,Cat,Domestic Shorthair,,98116
October 14 2015,277150,Baby,Cat,Domestic Longhair,,98199
October 14 2015,445218,Maceo,Cat,American Shorthair,,98133
October 15 2015,128906,Stinky,Cat,Domestic Shorthair,,98115
October 16 2015,105262,Tonto,Cat,Domestic Shorthair,,98107
October 16 2015,105263,Zorro,Cat,Domestic Shorthair,,98107
October 27 2015,217770,Odoroki,Cat,Domestic Shorthair,,98122
October 30 2015,962285,Felix,Cat,Domestic Shorthair,,98146
November 03 2015,822532,Romo,Cat,Siamese,,98122
November 13 2015,579007,Blue,Cat,American Shorthair,Siamese,98115
November 13 2015,579087,Kashi,Cat,American Shorthair,Mix,98115
November 16 2015,140499,Coco,Cat,Domestic Shorthair,,98109
November 16 2015,724607,Mellow Manny,Cat,American Shorthair,,98144
November 16 2015,28386,Tess,Cat,Siamese,Domestic Shorthair,98126
November 16 2015,133731,Kayla,Cat,Domestic Medium Hair,,98103
November 16 2015,128422,Juliet,Cat,Domestic Shorthair,,98118
November 16 2015,208723,Ms. Ringtail,Cat,Domestic Shorthair,,98122
November 16 2015,134158,Chowder,Cat,Siamese,Mix,98199
November 16 2015,733001,Edward,Cat,Domestic Medium Hair,,98125
November 16 2015,269837,,Cat,Domestic Shorthair,,98112
November 17 2015,346629,Noni,Cat,Domestic Shorthair,,98136
November 17 2015,198141,Misha,Cat,Domestic Shorthair,,98107
November 17 2015,217559,Cyan Pearla,Cat,British Shorthair,,98144
November 17 2015,714334,Campbell,Cat,Domestic Shorthair,,98121
November 17 2015,350708,Moses,Cat,Domestic Shorthair,,98125
November 17 2015,284734,Fortune,Cat,Domestic Medium Hair,,98117-2811
November 17 2015,107018,Frannie,Cat,Domestic Shorthair,,98117
November 17 2015,75175,Charlie,Cat,Persian,,98115
November 17 2015,833575,Minou,Cat,LaPerm,,98115
November 17 2015,724275,Jasmine,Cat,Domestic Shorthair,,98119
November 17 2015,724274,Petunia,Cat,Domestic Shorthair,,98119
November 17 2015,732967,Mamba,Cat,Bombay,,98116
November 17 2015,284553,T C,Cat,Domestic Longhair,,98115
November 17 2015,276595,Bobby,Cat,Domestic Shorthair,,98103
November 17 2015,817270,Josie,Cat,Domestic Shorthair,,98116
November 17 2015,817271,Pascal,Cat,Domestic Shorthair,,98116
November 17 2015,106585,Daisey,Cat,Domestic Shorthair,,98122
November 17 2015,351056,Kitty,Cat,Domestic Medium Hair,,98106
November 17 2015,277279,Ruby,Cat,Domestic Shorthair,,98102
November 17 2015,85281,Millie Mae,Cat,LaPerm,,98125
November 17 2015,28927,Snowball,Cat,Domestic Shorthair,,98117
November 18 2015,83140,Luna,Cat,LaPerm,,98122
November 18 2015,83138,Petra,Cat,LaPerm,,98122
November 18 2015,273677,Louise,Cat,Burmese,, 
November 18 2015,273676,Marco,Cat,Domestic Shorthair,, 
November 18 2015,584389,Magic,Cat,LaPerm,,98112
November 19 2015,574320,Ishaan,Cat,Domestic Shorthair,,98126
November 19 2015,351505,Jazz,Cat,Domestic Shorthair,,98101
November 19 2015,273943,  Moose /Buster,Cat,Domestic Shorthair,,98118
November 19 2015,273952,Squirrel / Resu,Cat,Domestic Medium Hair,,98118
November 19 2015,133405,Trixie,Cat,Domestic Shorthair,,98103
November 20 2015,586628,Riley,Cat,Domestic Shorthair,,98107
November 20 2015,715922,Lucy,Cat,Domestic Shorthair,,98119
November 20 2015,832787,Tiger,Cat,Domestic Shorthair,,98103
November 20 2015,107364,Max,Cat,Domestic Shorthair,,98115
November 20 2015,733071,Star,Cat,Domestic Shorthair,,98115
November 20 2015,22600,Tortue,Cat,Domestic Shorthair,,98109
November 21 2015,105659,Stevie,Cat,Domestic Shorthair,Mix,98122
November 23 2015,577634,Solstice,Cat,Maine Coon,Mix,98103
November 23 2015,208656,Roxy,Cat,Domestic Shorthair,,98109
November 23 2015,208515,Cricket,Cat,Domestic Shorthair,,98106
November 23 2015,584163,Sammach,Cat,Domestic Shorthair,,98144
November 23 2015,584164,Zion,Cat,Domestic Shorthair,,98144
November 23 2015,353322,Shirley,Cat,Domestic Shorthair,,98103
November 23 2015,14417,Felix,Cat,Domestic Longhair,,98199
November 23 2015,14404,Gustav,Cat,Domestic Longhair,,98199
November 23 2015,733301,KiKi,Cat,Domestic Shorthair,,98144
November 24 2015,107626,Simon,Cat,Domestic Shorthair,,98115
November 24 2015,444364,Bella,Cat,Domestic Shorthair,,98105
November 24 2015,444363,Blue,Cat,LaPerm,,98105
November 24 2015,833808,Gracie,Cat,Domestic Shorthair,,98112
November 24 2015,584443,Smokey,Cat,Domestic Longhair,,98118
November 24 2015,18541,Brat Cat,Cat,Domestic Shorthair,,98108
November 24 2015,208667,Julian,Cat,LaPerm,,98105
November 24 2015,142598,Poly,Cat,Domestic Shorthair,,98112
November 24 2015,445156,Simon,Cat,Domestic Shorthair,,98126
November 24 2015,732932,Hara,Cat,Siberian,,98125
November 24 2015,350610,Marty,Cat,Domestic Shorthair,,98103
November 25 2015,888129,Bugz,Cat,Domestic Shorthair,,98107
November 25 2015,445415,Max,Cat,Maine Coon,,98116
November 30 2015,905377,Scoots,Cat,Domestic Medium Hair,,98112
November 30 2015,584440,Felix,Cat,LaPerm,,98103
November 30 2015,129875,Whisper,Cat,Domestic Longhair,,98119
November 30 2015,21795,,Cat,Domestic Medium Hair,,98103
December 01 2015,833769,Coco,Cat,Ragdoll,Mix,98116
December 01 2015,833770,Isis,Cat,Ragdoll,Mix,98116
December 01 2015,443640,Eddy,Cat,Domestic Shorthair,,98115
December 01 2015,443635,Georgie,Cat,Domestic Shorthair,,98115
December 01 2015,214908,Jazz,Cat,Domestic Shorthair,,98125
December 01 2015,732857,Loki,Cat,Domestic Shorthair,,98119
December 01 2015,954138,Dancer,Cat,Domestic Shorthair,,98103
December 01 2015,108009,Berkeley,Cat,Domestic Shorthair,,98125
December 01 2015,905097,Delilah,Cat,Domestic Shorthair,,98133
December 01 2015,905769,Dexter,Cat,Domestic Shorthair,,98115
December 01 2015,905770,Leona,Cat,Domestic Shorthair,,98115
December 01 2015,217618,Sid Vicious,Cat,Domestic Shorthair,,98199
December 01 2015,816849,Manitou,Cat,Bombay,,98107
December 01 2015,127990,Blue,Cat,Domestic Shorthair,,98107
December 02 2015,101120,Alice,Cat,Domestic Shorthair,Mix,98121
December 02 2015,105680,Bella,Cat,Ragdoll,Siamese,98101
December 02 2015,134038,Maia,Cat,Domestic Shorthair,,98119
December 02 2015,129521,Meisha,Cat,Domestic Shorthair,,98133
December 02 2015,434026,Jinx,Cat,Domestic Medium Hair,,98115
December 02 2015,140679,,Cat,Domestic Shorthair,,98103
December 03 2015,896936,Kintaro,Cat,Domestic Shorthair,,98107
December 03 2015,896813,Nami,Cat,Domestic Shorthair,,98107
December 03 2015,353345,Fiona,Cat,Domestic Medium Hair,,98119
December 03 2015,578958,Miss Blackey,Cat,Domestic Medium Hair,,98133
December 03 2015,953657,Herdy,Cat,Domestic Shorthair,,98126
December 04 2015,433564,Kitty,Cat,Domestic Shorthair,,98119
December 04 2015,897175,Crawford,Cat,Domestic Shorthair,,98103
December 04 2015,833751,Rory,Cat,Domestic Shorthair,,98109
December 04 2015,948945,Beta,Cat,Domestic Shorthair,,98144
December 04 2015,948946,Biner,Cat,Domestic Shorthair,,98144
December 05 2015,274493,Kater,Cat,Domestic Shorthair,,98136
December 05 2015,823622,Catastrophe,Cat,LaPerm,,98109
December 06 2015,732946,Johann,Cat,Domestic Shorthair,,98125
December 06 2015,825470,Munchkin,Cat,Siamese,LaPerm,98125
December 06 2015,578199,Pixie,Cat,Abyssinian,,98112
December 06 2015,346886,Goro,Cat,Domestic Shorthair,,98119
December 06 2015,276680,Meredith,Cat,Domestic Longhair,,98106
December 06 2015,276770,Milo,Cat,Maine Coon,,98105
December 07 2015,134159,Kitty,Cat,LaPerm,,98106
December 08 2015,68315,Mouse,Cat,Russian Blue,,98178
December 08 2015,896312,Claire,Cat,Domestic Shorthair,,98103
December 08 2015,730318,Lucy,Cat,Domestic Shorthair,,98101
December 08 2015,108529,Stasia,Cat,Domestic Medium Hair,,98109
December 08 2015,897221,Dottie,Cat,Domestic Shorthair,,98117
December 08 2015,897222,Waylon,Cat,Domestic Shorthair,,98117
December 09 2015,73951,Pierre,Cat,Domestic Shorthair,,98122
December 09 2015,208267,Emma,Cat,Domestic Shorthair,,98199
December 10 2015,573163,Shadow,Cat,Domestic Shorthair,,98133
December 10 2015,268606,Shyann,Cat,LaPerm,,98133
December 10 2015,573197,Sasha,Cat,Domestic Shorthair,,98103
